,post_from,post_id,post_name,post_type,post_message,post_link,post_shares,created_time
20,262755230730537,262755230730537_544871342518923,Mega torta helada de cookies,video,"Si te desespera lo dulce, no dejes de probrar este MEGA TORTA HELADA DE COOKIES

Es un suenooooo! #Cucinare #RecetasDulces #Postres",https://www.facebook.com/cucinareok/videos/544871342518923/,,2017-11-19 08:40:56
21,262755230730537,262755230730537_544089102597147,"Asar en Buenos Aires, a su modo y sin negociar el punto de coccion: los secretos del verdadero txuleton vasco",link,Ni se te ocurra pedirlo cocido...,https://www.cucinare.tv/2017/11/17/asar-en-buenos-aires-a-su-modo-y-sin-negociar-el-punto-de-coccion-los-secretos-del-verdadero-txuleton-vasco/,,2017-11-18 18:32:01
22,262755230730537,262755230730537_544452925894098,Veggie style: Pizza de coliflor,video,"Te animas a una opcion distinta de #pizza? 

Es muchisimo mas rica de lo que pensas...  #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/544452925894098/,,2017-11-18 18:30:01
23,262755230730537,262755230730537_544450155894375,Alfajor gigante,video,"Fanatico de los #ALFAJORES? 
 
Entonces es hora de que pruebes el ALFAJOR GIGANTE!  

Etiqueta a ese amigo que lo va a disfrutar como vos #Cucinare #RecetasClasicas",https://www.facebook.com/cucinareok/videos/544450155894375/,,2017-11-18 15:00:01
24,262755230730537,262755230730537_544460332560024,Bocados de merluza a la romana con pure de calabaza,video,"Hoy animate a preparar #pescado!

Proba estos bocaditos de merluza, son re faciles y muy ricos #Cucinare",https://www.facebook.com/cucinareok/videos/544460332560024/,,2017-11-18 11:30:27
25,262755230730537,262755230730537_544401979232526,Torta invertida de manzana,video,Este finde no podes dejar de probar esta torta de manzana! #Cucinare,https://www.facebook.com/cucinareok/videos/544401979232526/,,2017-11-18 08:51:31
26,262755230730537,262755230730537_544075829265141,Pochoclos de pollo,video,"Que no puede faltar en tu picada este finde largo? 

Claramente estos RIQUISIMOS pochoclos de pollo que te proponemos en #CucinareTV... son lo mejor que vas a probar!",https://www.facebook.com/cucinareok/videos/544075829265141/,,2017-11-17 23:00:01
27,262755230730537,262755230730537_544085729264151,Frutas de verano: como elegir buenos melones sin equivocarte,link,No te pierdas estos consejos para seleccionar la fruta mas rica.,https://www.cucinare.tv/2017/11/17/frutas-de-verano-como-elegir-buenos-melones-sin-equivocarte/,,2017-11-17 20:32:01
28,262755230730537,262755230730537_544072105932180,Arancinis: La delicia que le faltaba a tu mesa,video,"Te animas a probar algo distinto?

Lucite con una especialidad de la cocina italiana!  #Arancinis #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/544072105932180/,,2017-11-17 19:00:01
29,262755230730537,262755230730537_544098329262891,,photo,Que levante la mano al que le paso #Cucinare,https://www.facebook.com/cucinareok/photos/a.285399835132743.1073741828.262755230730537/544097765929614/?type=3,,2017-11-17 16:40:01
30,262755230730537,262755230730537_544096789263045,TN Todo Noticias,link,,http://tn.com.ar/sociedad/de-barrio-el-bodegon-de-chacarita-que-renovo-la-cocina-vasca-en-buenos-aires_835041,,2017-11-17 16:13:11
31,262755230730537,262755230730537_544050489267675,Aspic de anana,video,"Llego la epoca de disfrutar a full de las #frutas!

Tenes #frutilla y #anana? Entonces animate y prepara este poste taaaaan rico como facil  #Cucinare",https://www.facebook.com/cucinareok/videos/544050489267675/,,2017-11-17 15:00:01
32,262755230730537,262755230730537_543996915939699,Contrabando de chipirones,video,Sabias que el plato estrella de Lekeitio es el Contrabando de Chipirones? Descubrilo en #DeBarrio,https://www.facebook.com/cucinareok/videos/543996915939699/,,2017-11-17 14:30:00
33,262755230730537,262755230730537_544030219269702,TN Todo Noticias,video,,https://www.facebook.com/todonoticias/videos/10156836637059863/,,2017-11-17 13:24:50
34,262755230730537,262755230730537_543932415946149,Costillitas de cordero con provenzal,video,"Arranca el finde largo con todo! 

Invita a tus amigos a comer y sorprendelos con este costillar de cordero... es un manjar! 

Etiqueta a ese amigo que este finde pone la casa #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/543932415946149/,,2017-11-17 12:30:00
35,262755230730537,262755230730537_544001932605864,De Barrio: Contrabando de chipirones de Lekeitio,link,"La cocina vasca nos trae esta receta de la mano de Eddie Fitte, que no abandona su recorrida por el off gastronomico porteno.",https://www.cucinare.tv/receta/contrabando-de-chipirones-de-lekeitio/,,2017-11-17 11:59:50
36,262755230730537,262755230730537_543955219277202,VIVO- Cual es tu pizza favorita?,video,#BatallaDeLosViernes Muzzarella o Fugazzeta?,https://www.facebook.com/cucinareok/videos/543955219277202/,,2017-11-17 10:42:29
37,262755230730537,262755230730537_543876669285057,Faina rellena,video,"HOY ES VIERNES: FAINA RELLENA 

Nada mejor para terminar la semana comiendo esta tremenda faina!

Te vas a resistir? #Cucinare",https://www.facebook.com/cucinareok/videos/543876669285057/,,2017-11-17 08:36:00
38,262755230730537,262755230730537_543586662647391,Volcan de chocolate blanco,video,"ME ENAMORE DE ESTE VOLCAN DE CHOCOLATE BLANCO 

Si no te podes resistir al clasico volcan, imaginate en esta version del programa de los #JUEVES de #CucinareTV... impresionante!",https://www.facebook.com/cucinareok/videos/543586662647391/,,2017-11-16 23:00:01
39,262755230730537,262755230730537_543592372646820,Palitos de queso,video,"Para una merienda o para acompanar una picada, estos palitos de queso son siempre una buena opcion. Preparalos siguiendo esta receta!

[Contenido patrocinado]",https://www.facebook.com/cucinareok/videos/543592372646820/,,2017-11-16 20:30:00
40,262755230730537,262755230730537_543622219310502,Como en los 90: el mejor maestro pizzero del mundo pone de moda la pizza con champagne,link,Parece que esta de regreso la tendencia que exploto hace mas de dos decadas...,https://www.cucinare.tv/2017/11/16/como-en-los-90-el-mejor-maestro-pizzero-del-mundo-pone-de-moda-la-pizza-con-champagne/,,2017-11-16 18:32:00
41,262755230730537,262755230730537_543527765986614,Gelatina superclasico,video,"El #SUPERCLASICO #River vs. #Boca llega a la cocina!  

Un #postre tan genial como rico: ideal para preparar en un cumple o reunion de hinchas. Vos, cual te comes? #Cucinare",https://www.facebook.com/cucinareok/videos/543527765986614/,,2017-11-16 15:00:01
42,262755230730537,262755230730537_543547469317977,Pinchos de pollo rebozado,video,"Queres cocinar algo tan simple como rico? 

No dejes de probar estos PINCHOS DE POLLO REBOZADO con semillas  son espectaculares! #Cucinare #Recetas",https://www.facebook.com/cucinareok/videos/543547469317977/,,2017-11-16 12:42:52
43,262755230730537,262755230730537_543434372662620,Chivito uruguayo gigante,video,"Gran dia para un... CHIVITO URUGUAYO GIGANTE... 

Etiqueta ese amigo que se pone la 10 y se anima a prepararlo en la proxima juntada!

 #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/543434372662620/,,2017-11-16 08:20:47
44,262755230730537,262755230730537_543414825997908,"Bolognesa casera, corazon de una pasta rellena imperdible  Cucinare",link,"Los secretos de una bolognesa autentica y casera revelados en esta receta deliciosa de Cucinare TV.

#TipLiliana: Procesar la carne en casa para que la salsa quede mas jugosa y sabrosa

 #PastasCaseras",https://www.cucinare.tv/receta/bolognesa-casera-corazon-de-una-pasta-rellena-imperdible/,,2017-11-16 07:36:29
45,262755230730537,262755230730537_543142066025184,Empanadas de mariscos,video,"Empanadas de #carne? De jamon y queso? 

No, en #CucinareTV te dejamos otra opcion mucho mas original y rica para que disfrutes: #EMPANADAS DE #MARISCOS!  Te animas a probarlas?",https://www.facebook.com/cucinareok/videos/543142066025184/,,2017-11-15 23:00:00
46,262755230730537,262755230730537_543096902696367,"Cucinare y Gato Dumas Colegio de Gastronomia, unidos para suerte de los amantes de la cocina",link,Renovamos el compromiso con los fanaticos de nuestras recetas con un partner de lujo. ,https://www.cucinare.tv/2017/11/14/cucinare-y-gato-dumas-colegio-de-gastronomia-unidos-para-suerte-de-los-amantes-de-la-cocina/,,2017-11-15 20:32:00
