,post_id,comm_id,comm_msg,comm_date
0,262755230730537_546328889039835,546328889039835_546416972364360,Mmm que rico,2017-11-22 19:03:36
1,262755230730537_546317689040955,546317689040955_546341119038612,No tienen una copa para postres que usan frascos...una indignacion me da ,2017-11-22 15:14:52
2,262755230730537_546317689040955,546317689040955_546422655697125,Mira Melina Yasmin para navidad  vos veras con que reemplazar el licor jajaja,2017-11-22 19:26:31
3,262755230730537_546317689040955,546317689040955_546339792372078,Majo Maciel ...q rico noo!!?fresquito  para el  verano...asik prontito  lo hacemos ,2017-11-22 15:09:30
4,262755230730537_546317689040955,546317689040955_546346215704769,"Tendencia o no, si veo a un moso trayendo me un semejante postre en un frasco se lo devuelvo al chef de inmediato",2017-11-22 15:39:09
